logical meaning mooney parse lexicon player parser zettlemoyer predicate ccg
variable prior estimate likelihood probabilistic estimation log conditional weight equation
npb .05 .02 .01 affect sec rnn np-c .03 .10
0.00 0.75 1.00 wkh 0.70 0.65 0.50 0.02 0.01 0.67
classifier classification identification essay recall label annotation prediction precision annotated
speech recognition hypothesis lattice acoustic asr modeling transcription spoken transcript
kernel svm classification node parse vector classifier scope extraction fragment
generation candidate generator surface realization generate story decision generating selection
morphological morpheme morphology stem suffix stress syllable prefix segmentation lexicon
event temporal extraction trigger argument expression inference joint classifier document
metric annotation annotator correlation quality agreement judgment judge ranking response
answer query attribute answering database trec candidate user retrieval e.g.
translation bleu target decoding smt phrase-based decoder koehn 2008 och
repair parser empty category node treebank detection disfluency pred edit
article correction learner preposition essay child writing wikipedia reading native
classifier labeled label classification unlabeled cluster supervised adaptation target selection
reordering hierarchical block anchor position cell distortion target ordering local
document query retrieval web ranking user collection topic similarity relevant
alignment paraphrase aligned translation parallel link ibm target align paraphrasing
ion ing ive verb arc par ica ted grammar noun
boundary cue prosodic french segment pitch accent speech duration break
sense wordnet sens verb disambiguation wsd synset noun cluster clustering
parser grammar parse treebank category par constituent dependency klein wsj
pattern extraction web seed precision extracted concept category extract hypernym
template ffi default dag flu game drug period xxx infection
arabic gender morphological token habash tokenization dialect lemma msa tag
segmentation chinese label crf joint segment tagging field character tag
user concept program database medical base understanding interface expert message
discourse object expression coherence connective referring action unit scene rhetorical
verb lexicon german entry grammar annotation hpsg object grammatical constituent
2010 2011 2012 2013 2009 image usa al. annotation 2008
grammar parser category unification string constituent ... theory argument formalism
translation bilingual parallel target monolingual dictionary chinese multilingual lexicon translated
tag tagging tagger token part-of-speech noun chunk tagged ... unknown
dependency parser head mcdonald nivre arc treebank transition proc non-projective
vector network neural al. 2013 loss 2012 update 2010 matrix
interpretation semantics meaning action object plan john description discourse theory
graph edge node path vertex network weight propagation walk random
summary summarization document compression article content citation news cluster rouge
topic document lda latent dirichlet sampling prior bayesian inference 2009
argument role predicate verb frame entailment srl inference labeling 2008
sentiment opinion review tweet polarity classification negative positive user post
n-gram bigram count transducer n-grams string cost pruning memory perplexity
japanese email character noun boundary comma expression dictionary japan candidate
noun verb pronoun antecedent clause resolution subject anaphora discourse anaphor
dialogue user utterance speech act conversation speaker dialog action response
similarity vector matrix distributional meaning frequency adjective co-occurrence noun correlation
node grammar derivation root string forest tag symbol fragment production
entity mention coreference name resolution named document person cluster wikipedia
character transliteration name chinese spelling string pronunciation candidate letter normalization
